id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0TA9q7jTg7RNAMx4X69JZq,0.5,0.529,-8.029,0.0283,0.000815,0.0416,0.112,0.0539,103.949,285613,4
7ciXqAPQXQVLrl5vGYmlh4,0.379,0.382,-11.39,0.0737,0.292,0.00132,0.126,0.227,94.908,434840,4
7rPLZ8Krm6CZIbraFUlnWZ,0.325,0.18,-10.647,0.0311,0.91,0.000633,0.113,0.0997,72.416,212040,1
1wnP0kMnl9NJC7Ek2rrHkB,0.467,0.546,-9.335,0.0659,0.739,0.0292,0.114,0.321,99.941,506733,4
3chvS4B3KaT7wCyoVLO88I,0.433,0.464,-10.741,0.0341,0.635,0.0000406,0.121,0.128,143.78,261010,4
5lBQ3mnWsYIt5aCdgz1U9n,0.456,0.776,-6.999,0.0348,0.0423,0.00975,0.148,0.223,174.261,358600,4
0dm3KyleAwe6L4oEEyPm5m,0.376,0.789,-5.032,0.05,0.016,0.704,0.245,0.0483,159.966,722200,4
6TbkMxKZudkP6Sty7rkLU9,0.698,0.367,-5.811,0.0329,0.649,0,0.119,0.246,104.853,204309,3
57jOEZtoLQK4zF2x55bdkp,0.718,0.382,-8.237,0.0466,0.585,0,0.128,0.499,87.029,200992,4
58e08QJdz9zs7AY2KiiHBt,0.6,0.701,-6.035,0.0606,0.139,0.00000121,0.12,0.723,163.975,224813,4
3T4UodGkfZObJ43RtA5KFU,0.611,0.602,-4.89,0.0437,0.000837,0,0.112,0.624,168.154,148460,4
30N62qcY8Zj0kYm3o6nmbA,0.806,0.513,-7.683,0.0995,0.258,0.000181,0.116,0.452,85.027,276506,4
43zdsphuZLzwA9k4DJhU0I,0.367,0.111,-14.084,0.0972,0.978,0.0000397,0.0897,0.198,82.642,196077,4
1ni8ZTAY1GHXEFOGHl7fdg,0.695,0.573,-8.597,0.106,0.46,0.0734,0.482,0.408,99.939,179172,4
4ofwffwvvnbSkrMSCKQDaC,0.672,0.735,-4.733,0.0457,0.286,0,0.242,0.754,115.741,201287,4
6hLkeOMrhZ2CMLBp2of576,0.668,0.534,-6.586,0.0677,0.164,0,0.1,0.711,145.816,136248,4
2YpeDb67231RjR0MgVLzsG,0.878,0.619,-5.56,0.102,0.0533,0,0.113,0.639,136.041,157067,4
0mjAU3yKR1QnXnHtjGJqTM,0.759,0.605,-7.737,0.0433,0.156,0,0.694,0.64,121.049,158900,4
6KkoN9GWRKxdxVwsFZ29wI,0.67,0.614,-5.826,0.0396,0.626,0,0.146,0.708,87.007,186207,4
57vxBYXtHMk6H1aD29V7PU,0.531,0.75,-5.831,0.111,0.00632,0.000076,0.117,0.198,169.954,200080,4
